,id,title,description,price,discount_per,rating,thumbnail,link
0,300,"POCO C51 (Power Black, 128 GB)","<ul class=""_1xgFaf""><li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li><li class=""rgWa7D"">16.56 cm (6.52 inch) HD+ Display</li><li class=""rgWa7D"">8MP Rear Camera | 5MP Front Camera</li><li class=""rgWa7D"">5000 mAh Lithium Polymer Battery</li><li class=""rgWa7D"">Helio G36 Processor</li><li class=""rgWa7D"">1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories</li></ul>","10,999",45% off,4.1,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/o/t/a/c51-mzb0e6din-poco-original-imagzdzzraqzsrzc.jpeg?q=70,https://www.flipkart.com/poco-c51-power-black-128-gb/p/itma7b694266a136?pid=MOBGSPJPH3UZHMEQ&lid=LSTMOBGSPJPH3UZHMEQAWJ6LR&marketplace=FLIPKART&q=mobile+&store=tyy%2F4io&srno=s_2_25&otracker=search&otracker1=search&fm=organic&iid=bf275fbc-a3c0-46d2-b0c3-a32e059b8a7f.MOBGSPJPH3UZHMEQ.SEARCH&ppt=None&ppn=None&ssid=kt9pxryx800000001709927013520&qH=179b063c26bcaa74
1,301,"Motorola G34 5G (Ice Blue, 128 GB)","<ul class=""_1xgFaf""><li class=""rgWa7D"">4 GB RAM | 128 GB ROM</li><li class=""rgWa7D"">16.51 cm (6.5 inch) HD+ Display</li><li class=""rgWa7D"">50MP + 2MP | 16MP Front Camera</li><li class=""rgWa7D"">5000 mAh Battery</li><li class=""rgWa7D"">Snapdragon 695 5G Processor</li><li class=""rgWa7D"">1 Year on Handset and 6 Months on Accessories</li></ul>","13,999",21% off,4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/k/9/g34-5g-pb1v0001in-motorola-original-imagwu4r4xze9jwz.jpeg?q=70,https://www.flipkart.com/motorola-g34-5g-ice-blue-128-gb/p/itm0f6b45af1c0f0?pid=MOBGUFK4ZX2ZHMTQ&lid=LSTMOBGUFK4ZX2ZHMTQPDILZF&marketplace=FLIPKART&q=mobile+&store=tyy%2F4io&srno=s_2_26&otracker=search&otracker1=search&fm=organic&iid=bf275fbc-a3c0-46d2-b0c3-a32e059b8a7f.MOBGUFK4ZX2ZHMTQ.SEARCH&ppt=None&ppn=None&ssid=kt9pxryx800000001709927013520&qH=179b063c26bcaa74
2,302,"Tecno Spark 10 Pro Moon Explorer 50MPCamera, Glass Back, 16GB Expandable RAM (Lunar Eclipse, 128 GB)","<ul class=""_1xgFaf""><li class=""rgWa7D"">8 GB RAM | 128 GB ROM</li><li class=""rgWa7D"">16.97 cm (6.68 inch) Full HD+ Display</li><li class=""rgWa7D"">50MP Rear Camera</li><li class=""rgWa7D"">5000 mAh Battery</li><li class=""rgWa7D"">1 Year Warranty</li></ul>","13,999",35% off,3.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/n/s/e/spark-10-pro-spark-10-pro-tecno-original-imagsrpuftgvyf4p.jpeg?q=70,https://www.flipkart.com/tecno-spark-10-pro-moon-explorer-50mpcamera-glass-back-16gb-expandable-ram-lunar-eclipse-128-gb/p/itmc2ea73dbea2d6?pid=MOBGSRPUBAQKTJGD&lid=LSTMOBGSRPUBAQKTJGDGOCPGI&marketplace=FLIPKART&q=mobile+&store=tyy%2F4io&srno=s_2_27&otracker=search&otracker1=search&fm=organic&iid=en_sbkQiKg05L1PuVyuXKwvq0aNF-iAytgXB3uevYRyqXzs0nylFZokIUI1xAkxSFnd76QTAtK-SS19chF3qOV75A%3D%3D&ppt=None&ppn=None&ssid=kt9pxryx800000001709927013520&qH=179b063c26bcaa74
3,303,"realme 12+ 5G (Pioneer Green, 256 GB)","<ul class=""_1xgFaf""><li class=""rgWa7D"">8 GB RAM | 256 GB ROM | Expandable Upto 2 TB</li><li class=""rgWa7D"">16.94 cm (6.67 inch) Full HD+ Display</li><li class=""rgWa7D"">50MP + 8MP + 2MP | 16MP Front Camera</li><li class=""rgWa7D"">5000 mAh Battery</li><li class=""rgWa7D"">Dimensity 7050 Processor</li><li class=""rgWa7D"">1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories</li></ul>","25,999",15% off,4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/e/w/x/-original-imagyzwyyzavhgfe.jpeg?q=70,https://www.flipkart.com/realme-12-5g-pioneer-green-256-gb/p/itmaf084e49c78e2?pid=MOBGYAFK2SGFMCFE&lid=LSTMOBGYAFK2SGFMCFERODKFP&marketplace=FLIPKART&q=mobile+&store=tyy%2F4io&srno=s_2_28&otracker=search&otracker1=search&fm=organic&iid=en_sbkQiKg05L1PuVyuXKwvq0aNF-iAytgXB3uevYRyqXyVMgBTRYjcTJTsDGeEgEZp_W1wadtafuvaWyfBZ8fFcPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=kt9pxryx800000001709927013520&qH=179b063c26bcaa74
4,304,"Motorola g84 5G (Viva Magenta, 256 GB)","<ul class=""_1xgFaf""><li class=""rgWa7D"">12 GB RAM | 256 GB ROM</li><li class=""rgWa7D"">16.64 cm (6.55 inch) Full HD+ Display</li><li class=""rgWa7D"">50MP (OIS) + 8MP | 16MP Front Camera</li><li class=""rgWa7D"">5000 mAh Battery</li><li class=""rgWa7D"">Snapdragon 695 Processor</li><li class=""rgWa7D"">1 Year on Handset and 6 Months on Accessories</li></ul>","22,999",21% off,4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/5/e/3/g84-5g-paym0018in-motorola-original-imagsy5zmhvkcfsx.jpeg?q=70,https://www.flipkart.com/motorola-g84-5g-viva-magenta-256-gb/p/itmed938e33ffdf5?pid=MOBGQFX672GDDQAQ&lid=LSTMOBGQFX672GDDQAQ5UMDBM&marketplace=FLIPKART&q=mobile+&store=tyy%2F4io&srno=s_2_29&otracker=search&otracker1=search&fm=organic&iid=bf275fbc-a3c0-46d2-b0c3-a32e059b8a7f.MOBGQFX672GDDQAQ.SEARCH&ppt=None&ppn=None&ssid=kt9pxryx800000001709927013520&qH=179b063c26bcaa74
5,305,"Motorola G34 5G (Ocean Green, 128 GB)","<ul class=""_1xgFaf""><li class=""rgWa7D"">4 GB RAM | 128 GB ROM</li><li class=""rgWa7D"">16.51 cm (6.5 inch) HD+ Display</li><li class=""rgWa7D"">50MP + 2MP | 16MP Front Camera</li><li class=""rgWa7D"">5000 mAh Battery</li><li class=""rgWa7D"">Snapdragon 695 5G Processor</li><li class=""rgWa7D"">Vegan Leather Design</li><li class=""rgWa7D"">1 Year on Handset and 6 Months on Accessories</li></ul>","13,999",21% off,4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/n/m/f/g34-5g-pb1v0002in-motorola-original-imagwu4rayqhgfjh.jpeg?q=70,https://www.flipkart.com/motorola-g34-5g-ocean-green-128-gb/p/itm3420a8e79e129?pid=MOBGUFK49KDBZUMC&lid=LSTMOBGUFK49KDBZUMCRZHEGQ&marketplace=FLIPKART&q=mobile+&store=tyy%2F4io&srno=s_2_30&otracker=search&otracker1=search&fm=organic&iid=bf275fbc-a3c0-46d2-b0c3-a32e059b8a7f.MOBGUFK49KDBZUMC.SEARCH&ppt=None&ppn=None&ssid=kt9pxryx800000001709927013520&qH=179b063c26bcaa74
6,306,"OPPO F25 Pro 5G (Lava Red, 128 GB)","<ul class=""_1xgFaf""><li class=""rgWa7D"">8 GB RAM | 128 GB ROM | Expandable Upto 2 TB</li><li class=""rgWa7D"">17.02 cm (6.7 inch) Full HD+ Display</li><li class=""rgWa7D"">64MP + 8MP + 2MP | 32MP Front Camera</li><li class=""rgWa7D"">5000 mAh Battery</li><li class=""rgWa7D"">Dimensity 7050 Processor</li><li class=""rgWa7D"">1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories</li></ul>","28,999",17% off,4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/e/q/j/-original-imagybz8gbfsaevs.jpeg?q=70,https://www.flipkart.com/oppo-f25-pro-5g-lava-red-128-gb/p/itm9451b9c477991?pid=MOBGXX3VNCYH65CM&lid=LSTMOBGXX3VNCYH65CMXL5ILC&marketplace=FLIPKART&q=mobile+&store=tyy%2F4io&srno=s_2_31&otracker=search&otracker1=search&fm=organic&iid=en_sbkQiKg05L1PuVyuXKwvq0aNF-iAytgXB3uevYRyqXzqmlkx5wfqR31gT3gDrE-4gFoVt8P7vujQ_3JdW5GE4g%3D%3D&ppt=None&ppn=None&ssid=kt9pxryx800000001709927013520&qH=179b063c26bcaa74
7,307,"POCO M6 5G (Orion Blue, 128 GB)","<ul class=""_1xgFaf""><li class=""rgWa7D"">4 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li><li class=""rgWa7D"">17.12 cm (6.74 inch) HD+ Display</li><li class=""rgWa7D"">50MP Rear Camera</li><li class=""rgWa7D"">5000 mAh Battery</li><li class=""rgWa7D"">Mediatek Dimensity 6100+ Processor</li><li class=""rgWa7D"">1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories</li></ul>","12,999",26% off,4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/l/v/b/-original-imagytcpqznwrvse.jpeg?q=70,https://www.flipkart.com/poco-m6-5g-orion-blue-128-gb/p/itm1227ec8698a77?pid=MOBGW9FEDGZ3GAKT&lid=LSTMOBGW9FEDGZ3GAKTOKMUXN&marketplace=FLIPKART&q=mobile+&store=tyy%2F4io&srno=s_2_32&otracker=search&otracker1=search&fm=organic&iid=bf275fbc-a3c0-46d2-b0c3-a32e059b8a7f.MOBGW9FEDGZ3GAKT.SEARCH&ppt=None&ppn=None&ssid=kt9pxryx800000001709927013520&qH=179b063c26bcaa74
8,308,"Motorola g54 5G (Pearl Blue, 128 GB)","<ul class=""_1xgFaf""><li class=""rgWa7D"">8 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li><li class=""rgWa7D"">16.51 cm (6.5 inch) Full HD+ Display</li><li class=""rgWa7D"">50MP (OIS) + 8MP | 16MP Front Camera</li><li class=""rgWa7D"">6000 mAh Battery</li><li class=""rgWa7D"">Dimensity 7020 Processor</li><li class=""rgWa7D"">1 Year on Handset and 6 Months on Accessories</li></ul>","17,999",22% off,4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/z/1/c/-original-imagt5uhcnfy66wa.jpeg?q=70,https://www.flipkart.com/motorola-g54-5g-pearl-blue-128-gb/p/itm8d5c2baa065c6?pid=MOBGQFX8TMM555GW&lid=LSTMOBGQFX8TMM555GWMGXPWV&marketplace=FLIPKART&q=mobile+&store=tyy%2F4io&srno=s_2_33&otracker=search&otracker1=search&fm=organic&iid=bf275fbc-a3c0-46d2-b0c3-a32e059b8a7f.MOBGQFX8TMM555GW.SEARCH&ppt=None&ppn=None&ssid=kt9pxryx800000001709927013520&qH=179b063c26bcaa74
9,309,"REDMI 13C (Stardust Black, 128 GB)","<ul class=""_1xgFaf""><li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li><li class=""rgWa7D"">17.12 cm (6.74 inch) HD+ Display</li><li class=""rgWa7D"">50MP Rear Camera | 8MP Front Camera</li><li class=""rgWa7D"">5000 mAh Battery</li><li class=""rgWa7D"">Helio G85 Processor</li><li class=""rgWa7D"">1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories</li></ul>","13,999",37% off,4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/e/h/j/-original-imagxg47qr5wzvyh.jpeg?q=70,https://www.flipkart.com/redmi-13c-stardust-black-128-gb/p/itm9580b52bc1339?pid=MOBGW4HH3GV5F8GY&lid=LSTMOBGW4HH3GV5F8GYUCUDKW&marketplace=FLIPKART&q=mobile+&store=tyy%2F4io&srno=s_2_34&otracker=search&otracker1=search&fm=organic&iid=bf275fbc-a3c0-46d2-b0c3-a32e059b8a7f.MOBGW4HH3GV5F8GY.SEARCH&ppt=None&ppn=None&ssid=kt9pxryx800000001709927013520&qH=179b063c26bcaa74
